PacketCounter,StatusWord,ClippingFlags,RSSI,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
07128,2,0,-56.0000,9.501759,0.873614,-2.232667,0.002993,0.016098,-0.013138,0.014235,0.002928,0.004523,0.286946,0.381084,-1.157825,0.095017,0.008740,-0.022327,1.000000,0.000071,0.000015,0.000023,0.999950,0.000540,0.009934,0.001396,0.063487,1.138334,0.160553,0.999799,0.002802,-0.019866,-0.002780,0.999996,0.001108,0.019869,-0.001052,0.999802
07129,2,0,-54.0000,9.516739,0.980978,-2.231059,-0.030687,-0.085228,0.010757,0.017476,-0.003089,0.004386,0.282866,0.386313,-1.155627,0.095168,0.009814,-0.022308,1.000000,0.000087,-0.000015,0.000022,0.999949,0.000600,0.009944,0.001464,0.070466,1.139429,0.168466,0.999798,0.002940,-0.019885,-0.002916,0.999995,0.001230,0.019889,-0.001171,0.999802
07130,2,0,-53.0000,9.537818,0.922885,-2.284742,-0.052820,-0.012630,0.038139,0.010024,-0.001503,0.008507,0.280957,0.390858,-1.148669,0.095378,0.009234,-0.022846,1.000000,0.000050,-0.000008,0.000043,0.999949,0.000668,0.009940,0.001514,0.078246,1.138971,0.174245,0.999798,0.003041,-0.019877,-0.003014,0.999995,0.001365,0.019882,-0.001305,0.999801
07131,2,0,-53.0000,9.515909,0.946863,-2.275478,-0.058776,-0.039498,0.016955,0.002786,0.002453,0.008643,0.284115,0.392608,-1.159174,0.095158,0.009473,-0.022756,1.000000,0.000014,0.000012,0.000043,0.999949,0.000720,0.009916,0.001509,0.084201,1.136217,0.173710,0.999799,0.003031,-0.019829,-0.003003,0.999994,0.001469,0.019834,-0.001409,0.999802
07132,2,0,-53.0000,9.534808,0.910084,-2.262808,-0.030093,-0.011036,0.029065,0.003081,0.005578,0.009270,0.286305,0.388480,-1.151662,0.095347,0.009106,-0.022631,1.000000,0.000015,0.000028,0.000046,0.999950,0.000768,0.009878,0.001497,0.089673,1.131788,0.172393,0.999800,0.003008,-0.019752,-0.002978,0.999994,0.001565,0.019757,-0.001506,0.999804
07133,2,0,-54.0000,9.506472,0.912206,-2.209867,0.009083,-0.033674,-0.010268,-0.000792,0.004810,0.011016,0.282762,0.387079,-1.162119,0.095064,0.009127,-0.022101,1.000000,-0.000004,0.000024,0.000055,0.999950,0.000822,0.009838,0.001472,0.095859,1.127277,0.169687,0.999802,0.002961,-0.019673,-0.002929,0.999994,0.001673,0.019678,-0.001615,0.999805
07134,2,0,-54.0000,9.527696,0.854103,-2.262830,-0.013046,0.038945,0.017124,0.006661,0.003223,0.006895,0.279193,0.391407,-1.150266,0.095276,0.008545,-0.022630,1.000000,0.000033,0.000016,0.000034,0.999950,0.000869,0.009816,0.001496,0.101226,1.124646,0.172433,0.999803,0.003009,-0.019628,-0.002975,0.999994,0.001766,0.019633,-0.001708,0.999806
07135,2,0,-54.0000,9.503727,0.856613,-2.264554,-0.021848,0.036285,-0.005495,0.011740,0.003280,0.006850,0.286396,0.398998,-1.151433,0.095037,0.008571,-0.022647,1.000000,0.000059,0.000016,0.000034,0.999950,0.000922,0.009791,0.001537,0.107341,1.121829,0.177151,0.999804,0.003091,-0.019578,-0.003055,0.999994,0.001873,0.019584,-0.001813,0.999807
07136,2,0,-54.0000,9.555427,0.859731,-2.281713,-0.026571,0.038714,0.048820,0.020037,0.010532,0.007474,0.278412,0.389235,-1.148581,0.095553,0.008603,-0.022821,1.000000,0.000100,0.000053,0.000037,0.999951,0.000971,0.009733,0.001601,0.113101,1.115163,0.184608,0.999805,0.003221,-0.019462,-0.003184,0.999993,0.001974,0.019468,-0.001911,0.999809
07137,2,0,-54.0000,9.537042,0.894434,-2.293149,-0.055097,0.009737,0.036708,0.016335,0.011597,0.008100,0.287058,0.387079,-1.143567,0.095369,0.008950,-0.022936,1.000000,0.000082,0.000058,0.000041,0.999951,0.001020,0.009668,0.001667,0.118772,1.107652,0.192133,0.999808,0.003353,-0.019331,-0.003313,0.999992,0.002073,0.019338,-0.002008,0.999811
